20,熔炉,孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,http://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg
21,教父,马龙·白兰度 M...,http://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg
22,当幸福来敲门,威尔·史密斯 Will Smith ...,http://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614359276.jpg
23,龙猫,日高法子 Noriko Hidaka / 坂本千夏 Ch...,http://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg
24,怦然心动,玛德琳·卡罗尔 Madeline Carroll / 卡...,http://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg
25,控方证人,泰隆·鲍华 Tyrone Power / 玛琳·...,http://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg
26,触不可及,,http://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg
27,蝙蝠侠：黑暗骑士,克里斯蒂安·贝尔 Christ...,http://img2.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg
28,末代皇帝,尊龙 John Lone / 陈...,http://img2.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg
29,寻梦环游记,...,http://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614500706.jpg
30,活着,葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,http://img2.doubanio.com/view/photo/s_ratio_poster/public/p2524040532.jpg
31,指环王3：王者无敌,伊利亚·伍德 Elijah Wood / 西恩...,http://img2.doubanio.com/view/photo/s_ratio_poster/public/p2642829472.jpg
32,乱世佳人,费...,http://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg
33,何以为家,扎因·拉费阿 Zain al-Rafeea / ...,http://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg
34,哈利·波特与魔法石,Daniel Radcliffe / Emma Watson / Rupert Grint,http://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614949805.jpg
35,飞屋环游记,爱德...,http://img2.doubanio.com/view/photo/s_ratio_poster/public/p2363116942.jpg
36,素媛,薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,http://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg
37,摔跤吧！爸爸,阿米尔·汗 Aamir Khan / 法缇玛...,http://img1.doubanio.com/view/photo/s_ratio_poster/public/p2401676338.jpg
38,少年派的奇幻漂流,苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,http://img2.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg
39,十二怒汉,亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,http://img2.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg
40,哈尔的移动城堡,倍赏千惠子 Chieko Baishô / 木村拓...,http://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg
41,鬼子来了,姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,http://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg
42,我不是药神,徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,http://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg
43,大话西游之月光宝盒,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,http://img2.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg
44,天空之城,田中真弓 Mayumi Tanaka / 横泽启子 Ke...,http://img1.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg
45,天堂电影院,菲利普·努瓦雷 Philipp...,http://img3.doubanio.com/view/photo/s_ratio_poster/public/p2653054340.jpg
46,闻香识女人,阿尔·帕西诺 Al Pacino / 克里斯...,http://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg
47,罗马假日,奥黛丽·赫本 Audrey Hepburn / 格...,http://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg
48,指环王2：双塔奇兵,伊利亚·伍德 Elijah Wood / 西恩...,http://img9.doubanio.com/view/photo/s_ratio_poster/public/p2640236255.jpg
49,猫鼠游戏,莱昂纳多·迪卡普里奥 L...,http://img2.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg
50,辩护人,宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,http://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg
51,指环王1：护戒使者,伊利亚·伍德 Elijah Wood / 西恩...,http://img3.doubanio.com/view/photo/s_ratio_poster/public/p2640234840.jpg
52,大闹天宫,邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,http://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg
53,钢琴家,艾德里安·布洛迪 Adrien Brod...,http://img2.doubanio.com/view/photo/s_ratio_poster/public/p792376093.jpg
54,狮子王,乔纳森·泰勒·托马...,http://img1.doubanio.com/view/photo/s_ratio_poster/public/p2277799019.jpg
55,教父2,阿尔·帕西诺 A...,http://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg
56,死亡诗社,罗宾·威廉姆斯 Robin Williams / 罗伯...,http://img3.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg
57,搏击俱乐部,爱德华·诺顿 Edward Norton / 布拉...,http://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg
58,让子弹飞,姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,http://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg
59,黑客帝国,,http://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg
60,绿皮书,维果·莫腾森 Viggo Mortensen /...,http://img2.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.jpg
61,饮食男女,郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,http://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg
62,美丽心灵,罗素·克劳 Russell Crowe / 艾德·哈...,http://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg
63,海蒂和爷爷,阿努克·斯特芬 Anuk Steffen /...,http://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg
64,窃听风暴,,http://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg
65,两杆大烟枪,Jason Flemyng / Dexter Fletcher / Nick Moran,http://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg
66,本杰明·巴顿奇事,凯特·布兰切特 Cate Blanchett / ...,http://img2.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg
67,情书,中山美穗 Miho Nakayama / 丰川悦司 Ets...,http://img3.doubanio.com/view/photo/s_ratio_poster/public/p2648230660.jpg
68,看不见的客人,马里奥·卡萨斯 Mario Casas / 阿...,http://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg
69,飞越疯人院,杰克·尼科尔森 Jack Nichols...,http://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg
70,穿条纹睡衣的男孩,阿萨·巴特菲尔德 Asa Butterfield ...,http://img2.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg
71,西西里的美丽传说,莫妮卡·贝鲁奇 Monica ...,http://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg
72,拯救大兵瑞恩,汤姆·汉克斯 Tom Hanks...,http://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg
73,小鞋子,默罕默德·阿米尔·纳吉 Mohamma...,http://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg
74,音乐之声,朱莉·安德鲁斯 Julie Andrews / 克...,http://img1.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg
75,阿凡达,萨姆·沃辛顿 Sam Worthington ...,http://img2.doubanio.com/view/photo/s_ratio_poster/public/p2634997853.jpg
76,海豚湾,Richard O'Barry / 路易·西霍...,http://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg
